top - 01:55:04 up  1:00,  0 users,  load average: 1.67, 1.61, 1.31
Tasks: 327 total,   2 running, 247 sleeping,   0 stopped,   0 zombie
%Cpu(s): 29.9 us, 16.4 sy,  0.0 ni, 50.0 id,  3.7 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem : 16082196 total, 10305780 free,  2488192 used,  3288224 buff/cache
KiB Swap:  2097148 total,  2097148 free,        0 used. 12771592 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
    126 65534     20   0       0      0      0 I   0.0  0.0   0:01.44 kworker/+
    127 65534    -51   0       0      0      0 S   0.0  0.0   0:00.00 watchdogd
    128 65534      0 -20       0      0      0 I   0.0  0.0   0:00.10 kworker/+
    129 65534     20   0       0      0      0 S   0.0  0.0   0:00.02 ksgxd
    131 65534     20   0       0      0      0 S   0.0  0.0   0:00.00 kswapd0
    132 65534     20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs+
    134 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 kthrotld
    135 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 acpi_the+
    139 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 vfio-irq+
    141 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 mld
    142 65534      0 -20       0      0      0 I   0.0  0.0   0:00.14 kworker/+
    143 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 ipv6_add+
    152 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 kstrp
    153 65534     20   0       0      0      0 I   0.0  0.0   0:02.03 kworker/+
    154 65534     20   0       0      0      0 I   0.0  0.0   0:01.24 kworker/+
    158 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 zswap-sh+
    166 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 charger_+
    207 65534      0 -20       0      0      0 I   0.0  0.0   0:00.09 kworker/+
    216 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 nvme-wq
    217 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 nvme-res+
    218 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 nvme-del+
    219 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 cryptd
    265 65534      0 -20       0      0      0 I   0.0  0.0   0:00.13 kworker/+
    266 65534      0 -20       0      0      0 I   0.0  0.0   0:00.17 kworker/+
    267 65534      0 -20       0      0      0 I   0.0  0.0   0:00.11 kworker/+
    268 65534      0 -20       0      0      0 I   0.0  0.0   0:00.19 kworker/+
    269 65534     20   0       0      0      0 I   0.0  0.0   0:01.33 kworker/+
    274 65534    -51   0       0      0      0 S   0.0  0.0   0:11.04 irq/51-D+
    275 65534    -51   0       0      0      0 S   0.0  0.0   0:00.00 card0-cr+
    276 65534    -51   0       0      0      0 S   0.0  0.0   0:00.00 card0-cr+
    277 65534    -51   0       0      0      0 S   0.0  0.0   0:00.00 card0-cr+
    285 65534      0 -20       0      0      0 I   0.0  0.0   0:00.06 kworker/+
    286 65534     20   0       0      0      0 I   0.0  0.0   0:01.81 kworker/+
    354 65534     20   0       0      0      0 S   0.0  0.0   0:00.20 jbd2/nvm+
    355 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv+
    409 65534     19  -1  136196  74504  72664 S   0.0  0.5   0:00.49 systemd-+
    444 65534     20   0   26476   6724   4544 S   0.0  0.0   0:00.37 systemd-+
    511 65534    -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/138-+
    522 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 cfg80211
    556 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 ath10k_wq
    557 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 ath10k_a+
    558 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 ath10k_t+
    838 65534      0 -20       0      0      0 I   0.0  0.0   0:02.80 kworker/+
    850 65534      0 -20       0      0      0 I   0.0  0.0   0:02.78 kworker/+
    875 65534      0 -20       0      0      0 S   0.0  0.0   0:00.00 spl_syst+
    876 65534      0 -20       0      0      0 S   0.0  0.0   0:00.00 spl_dela+
    877 65534      0 -20       0      0      0 S   0.0  0.0   0:00.00 spl_dyna+
    878 65534      0 -20       0      0      0 S   0.0  0.0   0:00.00 spl_kmem+
    879 65534      0 -20       0      0      0 S   0.0  0.0   0:00.00 zvol
    880 65534     20   0       0      0      0 S   0.0  0.0   0:00.00 arc_prune
    881 65534     20   0       0      0      0 S   0.0  0.0   0:00.00 arc_evict
    882 65534     39  19       0      0      0 S   0.0  0.0   0:00.04 arc_reap
